epoch,train_total,train_pos,train_ori,train_trans_m,train_rot_deg,train_mae_x,train_mae_y,train_mae_z,train_mae_qx,train_mae_qy,train_mae_qz,train_mae_qw,val_total,val_pos,val_ori,val_trans_m,val_rot_deg,val_mae_x,val_mae_y,val_mae_z,val_mae_qx,val_mae_qy,val_mae_qz,val_mae_qw,lr
1,63.086231,31.243122,0.149997,0.664128,14.323743,0.204029,0.151800,0.596266,0.060461,0.062710,0.047371,0.042926,58.436353,29.171167,0.023505,0.613595,7.505132,0.202653,0.142967,0.544350,0.033193,0.030226,0.025733,0.024336,1.000000e-04
2,40.129904,19.908512,0.078220,0.414702,13.557491,0.191789,0.143703,0.276473,0.055600,0.063656,0.044360,0.040661,21.886489,10.783002,0.080121,0.230564,14.505160,0.151006,0.139446,0.047571,0.060383,0.061011,0.055688,0.044309,1.000000e-04
3,18.030355,8.882453,0.066362,0.193101,12.820050,0.084185,0.140681,0.056111,0.052501,0.058401,0.044148,0.040518,12.721509,6.256915,0.051920,0.143994,11.265452,0.056403,0.116874,0.028596,0.052697,0.041967,0.036041,0.039164,1.000000e-04
4,10.099459,4.927057,0.061336,0.109704,12.390097,0.046697,0.071201,0.044144,0.058295,0.048666,0.042226,0.039790,6.474492,3.071465,0.082890,0.071864,15.047987,0.048471,0.029105,0.028389,0.061022,0.067853,0.065449,0.037536,1.000000e-04
5,7.173695,3.492535,0.047156,0.078958,10.824342,0.043206,0.033958,0.041628,0.049441,0.043587,0.037881,0.033561,3.905225,1.894050,0.029281,0.047435,8.445469,0.029691,0.018322,0.022309,0.041399,0.029698,0.027068,0.028683,1.000000e-04
6,5.864169,2.854106,0.038989,0.066269,9.857119,0.037918,0.028684,0.032845,0.040145,0.044796,0.035623,0.028605,3.162879,1.492124,0.044658,0.038115,11.351024,0.021270,0.019340,0.017329,0.031505,0.073111,0.037518,0.024307,1.000000e-04
7,5.143397,2.503639,0.034030,0.058773,9.176241,0.032731,0.026636,0.029481,0.033528,0.044234,0.036687,0.024163,2.324058,1.119308,0.021360,0.031051,7.349047,0.017226,0.012944,0.015966,0.026815,0.026910,0.036869,0.019782,1.000000e-04
8,5.090584,2.482661,0.031315,0.058339,8.854071,0.032943,0.025854,0.029358,0.036070,0.039433,0.032075,0.026113,3.932205,1.937521,0.014291,0.047655,5.719635,0.017883,0.034712,0.018683,0.024674,0.021641,0.021816,0.017767,1.000000e-04
9,4.654242,2.278851,0.024135,0.054637,7.688546,0.030004,0.025358,0.026610,0.030516,0.035216,0.028379,0.022803,2.827068,1.382468,0.015533,0.036522,6.464467,0.015618,0.012813,0.026001,0.021892,0.025984,0.032204,0.017941,1.000000e-04
10,4.142882,2.024652,0.023394,0.049142,7.717428,0.027727,0.023820,0.022678,0.032451,0.033716,0.027485,0.024093,2.343851,1.145493,0.013216,0.031514,5.855786,0.017087,0.012758,0.017403,0.027529,0.022597,0.018996,0.019895,1.000000e-04
11,3.912264,1.915764,0.020184,0.047098,7.029169,0.025315,0.022799,0.022821,0.026218,0.033209,0.026025,0.020253,2.004789,0.983526,0.009435,0.028030,4.768309,0.016641,0.009003,0.016381,0.017430,0.019548,0.020497,0.013602,1.000000e-04
12,3.312309,1.620108,0.018023,0.040942,6.733882,0.022803,0.019620,0.019338,0.025927,0.031214,0.025165,0.019393,2.641453,1.301568,0.009579,0.033998,4.924522,0.017547,0.018307,0.016415,0.016977,0.023095,0.020744,0.012953,1.000000e-04
13,3.263521,1.595406,0.018177,0.040578,6.727252,0.021349,0.019519,0.020182,0.024952,0.031559,0.025638,0.019153,2.538951,1.234561,0.017457,0.033592,7.035908,0.024272,0.011045,0.014451,0.023392,0.039184,0.024709,0.019160,1.000000e-04
14,2.885591,1.406507,0.018144,0.036532,6.788227,0.019286,0.016550,0.019374,0.024846,0.032810,0.025451,0.018742,2.126389,1.045842,0.008676,0.028911,4.749345,0.014831,0.015285,0.013953,0.021331,0.018844,0.015657,0.015969,1.000000e-04
15,2.822055,1.378898,0.016064,0.036137,6.339441,0.019088,0.016642,0.018573,0.022685,0.030402,0.024866,0.017649,1.598881,0.783372,0.008034,0.023836,4.429581,0.016001,0.008732,0.010919,0.015418,0.020479,0.017703,0.012491,1.000000e-04
16,2.575830,1.251626,0.018144,0.033482,6.778759,0.017135,0.016078,0.017130,0.025897,0.030913,0.026316,0.019524,1.693243,0.813488,0.016567,0.024238,6.861752,0.014001,0.008862,0.014029,0.039599,0.016003,0.018526,0.029412,1.000000e-04
17,2.517804,1.232713,0.013094,0.033104,5.738021,0.016422,0.016698,0.016576,0.022811,0.025596,0.021006,0.017369,2.296370,1.132142,0.008021,0.030603,4.553158,0.020889,0.009623,0.016005,0.016048,0.023394,0.016433,0.012414,1.000000e-04
18,2.328696,1.136611,0.013868,0.031106,5.931968,0.016524,0.013825,0.016375,0.022397,0.027319,0.022945,0.016911,1.157845,0.567115,0.005904,0.019162,3.833603,0.008397,0.007068,0.012731,0.013835,0.017085,0.015482,0.010468,1.000000e-04
19,2.130264,1.036818,0.014157,0.028966,5.928726,0.015021,0.012875,0.015667,0.023489,0.026753,0.021815,0.017953,1.724308,0.849446,0.006354,0.024483,3.962213,0.010736,0.011678,0.015485,0.015819,0.016775,0.014787,0.011965,1.000000e-04
20,2.007294,0.976886,0.013381,0.027709,5.823484,0.013445,0.013048,0.015208,0.022564,0.026656,0.021023,0.017263,1.331649,0.652233,0.006796,0.020573,4.189142,0.008838,0.009956,0.012608,0.019294,0.016100,0.013243,0.014191,1.000000e-04
21,25.040280,12.479691,0.020224,0.050567,7.151189,0.026600,0.021379,0.028083,0.026805,0.033299,0.027055,0.020759,5.973167,2.961929,0.012327,0.025633,5.539772,0.017541,0.008011,0.011996,0.019242,0.026594,0.021285,0.015982,1.000000e-04
22,9.728086,4.828371,0.017836,0.032894,6.759200,0.015631,0.014334,0.019456,0.025605,0.031662,0.025247,0.019496,5.540729,2.739209,0.015577,0.024504,6.389019,0.010919,0.013890,0.013252,0.020668,0.035770,0.024523,0.015606,1.000000e-04
23,6.603241,3.266113,0.017754,0.026670,6.795303,0.014147,0.010668,0.015273,0.028023,0.029544,0.024519,0.020816,3.082207,1.518849,0.011127,0.018697,5.385572,0.008884,0.008128,0.011167,0.023722,0.019037,0.019442,0.018883,1.000000e-04
24,4.951346,2.442930,0.016371,0.023584,6.485755,0.012245,0.010414,0.012758,0.023836,0.031137,0.024808,0.018153,3.425612,1.690675,0.011065,0.019819,5.343806,0.012948,0.008748,0.008577,0.017168,0.029922,0.019069,0.012859,1.000000e-04
25,5.261799,2.599176,0.015862,0.023857,6.427831,0.011643,0.011133,0.013164,0.024888,0.029783,0.023694,0.018641,2.205919,1.086506,0.008227,0.015487,4.534115,0.007166,0.006494,0.009880,0.015156,0.019744,0.020407,0.011442,1.000000e-04
26,4.448254,2.196010,0.014058,0.022006,5.943737,0.010836,0.009002,0.013299,0.022840,0.028165,0.021083,0.017122,3.372689,1.667152,0.009596,0.019025,4.986278,0.012178,0.007244,0.009365,0.021379,0.021766,0.016467,0.015422,1.000000e-04
27,4.323392,2.127914,0.016891,0.022187,6.589196,0.011282,0.009879,0.012179,0.024987,0.030490,0.025298,0.018876,2.139594,1.037440,0.016178,0.015284,6.761335,0.006453,0.008241,0.008310,0.038840,0.017770,0.016346,0.028574,1.000000e-04
28,3.758344,1.851642,0.013765,0.020207,5.963176,0.009994,0.009206,0.011248,0.022933,0.027863,0.021858,0.017622,3.927833,1.950356,0.006780,0.019949,4.057539,0.006105,0.006638,0.016169,0.015424,0.018291,0.015524,0.011078,1.000000e-04
