epoch,train_total,train_pos,train_ori,train_trans_m,train_rot_deg,train_mae_x,train_mae_y,train_mae_z,train_mae_qx,train_mae_qy,train_mae_qz,train_mae_qw,val_total,val_pos,val_ori,val_trans_m,val_rot_deg,val_mae_x,val_mae_y,val_mae_z,val_mae_qx,val_mae_qy,val_mae_qz,val_mae_qw,lr
1,77.637398,15.523768,0.018556,0.323806,18.215466,0.126165,0.141295,0.212923,0.093341,0.057621,0.053119,0.067687,21.230335,4.243439,0.013143,0.093412,15.945488,0.048673,0.043930,0.048907,0.087659,0.051280,0.028357,0.064614,1.000000e-04
2,28.351093,5.667546,0.013360,0.121938,15.873194,0.063516,0.057049,0.063825,0.085485,0.050712,0.030376,0.063475,15.482064,3.093698,0.013573,0.071451,16.910105,0.042809,0.023875,0.040247,0.093599,0.049062,0.028053,0.068485,1.000000e-04
3,21.911973,4.379720,0.013371,0.096733,15.826774,0.047905,0.047991,0.049735,0.085090,0.050464,0.030361,0.063324,8.694207,1.736194,0.013236,0.044176,16.341367,0.022497,0.016835,0.026041,0.089365,0.051962,0.028614,0.065651,1.000000e-04
4,16.252340,3.247807,0.013304,0.074010,15.920159,0.033923,0.038579,0.038911,0.085779,0.050835,0.030879,0.063669,7.877593,1.572886,0.013165,0.040824,15.191243,0.018836,0.016666,0.024830,0.083412,0.045153,0.028376,0.062375,1.000000e-04
5,13.103756,2.618089,0.013309,0.061836,15.859854,0.028100,0.031406,0.032788,0.085156,0.050758,0.030857,0.063327,8.876381,1.772678,0.012993,0.044555,15.692369,0.030492,0.015335,0.020767,0.086361,0.047236,0.027558,0.063804,1.000000e-04
6,10.754170,2.148173,0.013306,0.051857,15.839315,0.023298,0.025737,0.028997,0.085217,0.050394,0.030242,0.063402,5.966014,1.190538,0.013324,0.032424,16.521196,0.017829,0.013058,0.017798,0.089756,0.055462,0.030665,0.065995,1.000000e-04
7,9.244539,1.846254,0.013267,0.045476,15.891286,0.021694,0.021843,0.025211,0.085587,0.050850,0.030307,0.063533,5.920029,1.181417,0.012941,0.032207,15.380453,0.011357,0.020767,0.015977,0.084009,0.049020,0.027327,0.062592,1.000000e-04
8,7.297053,1.456770,0.013206,0.037675,15.806647,0.018192,0.016501,0.022027,0.085177,0.050298,0.029938,0.063306,3.497241,0.696842,0.013033,0.021990,15.827910,0.011028,0.009312,0.012235,0.086920,0.047585,0.028307,0.064220,1.000000e-04
9,6.766840,1.350711,0.013283,0.035653,15.862658,0.016418,0.015400,0.021583,0.085180,0.050637,0.030444,0.063375,5.397991,1.076987,0.013055,0.029607,15.949523,0.010716,0.016878,0.017436,0.087163,0.050167,0.028931,0.064449,1.000000e-04
10,6.242091,1.245770,0.013243,0.033434,15.841250,0.016313,0.014324,0.019473,0.085218,0.050779,0.030367,0.063310,5.420088,1.081428,0.012951,0.030658,15.617135,0.010387,0.010741,0.023510,0.086035,0.045693,0.028271,0.063689,1.000000e-04
11,5.583834,1.114130,0.013186,0.030679,15.778793,0.014541,0.012468,0.018922,0.084728,0.050275,0.030383,0.063030,4.746149,0.946628,0.013007,0.027922,15.942346,0.013478,0.007673,0.019521,0.087165,0.050145,0.028279,0.064328,1.000000e-04
12,5.333104,1.063977,0.013219,0.029624,15.819631,0.015212,0.011764,0.017449,0.085100,0.050378,0.030242,0.063262,4.327571,0.862909,0.013025,0.024955,15.561849,0.011067,0.011913,0.015185,0.084457,0.051675,0.029849,0.062933,1.000000e-04
13,4.748361,0.947023,0.013246,0.027123,15.847932,0.013866,0.010889,0.015876,0.085122,0.050576,0.030613,0.063239,5.094185,1.016221,0.013078,0.028667,14.992527,0.012622,0.008547,0.021575,0.081678,0.045496,0.027711,0.061511,1.000000e-04
14,4.572682,0.911905,0.013156,0.026332,15.757613,0.012849,0.011210,0.015524,0.084757,0.050184,0.030016,0.063043,4.202677,0.837924,0.013057,0.024770,16.216332,0.009312,0.014261,0.013883,0.088766,0.051465,0.031380,0.065280,1.000000e-04
15,4.390472,0.875461,0.013167,0.025594,15.782626,0.013066,0.010542,0.014838,0.084908,0.050419,0.030158,0.063018,2.392611,0.475911,0.013054,0.016895,16.298743,0.006921,0.008462,0.009586,0.089558,0.050998,0.028276,0.065810,1.000000e-04
16,4.525128,0.902391,0.013170,0.026174,15.776375,0.011911,0.011045,0.016293,0.084931,0.050132,0.029587,0.063137,2.900341,0.577486,0.012913,0.018857,15.402782,0.008200,0.009460,0.010863,0.084252,0.046247,0.028872,0.062772,1.000000e-04
17,4.178906,0.833155,0.013130,0.024758,15.749858,0.011318,0.009935,0.015704,0.084620,0.050439,0.030029,0.062952,2.882943,0.573995,0.012966,0.019115,15.188461,0.007258,0.009030,0.012012,0.082762,0.047485,0.029143,0.061914,1.000000e-04
18,3.826305,0.762637,0.013118,0.023133,15.733239,0.011313,0.009529,0.013818,0.084626,0.050177,0.029753,0.062888,2.547982,0.507015,0.012905,0.017416,15.901212,0.006848,0.008607,0.010368,0.087564,0.048729,0.027782,0.064414,1.000000e-04
19,3.772629,0.751896,0.013150,0.022863,15.799347,0.010450,0.009383,0.014539,0.085066,0.050366,0.030067,0.063202,2.664640,0.530343,0.012924,0.017790,15.098065,0.008311,0.007089,0.011399,0.082752,0.044516,0.026758,0.061872,1.000000e-04
20,3.637581,0.724889,0.013134,0.022229,15.762246,0.010780,0.009200,0.013533,0.084847,0.050191,0.029662,0.063029,3.585266,0.714438,0.013075,0.021913,16.199947,0.007032,0.010423,0.015755,0.087725,0.054924,0.031655,0.064654,1.000000e-04
21,3.595681,0.716507,0.013146,0.022296,15.752004,0.010437,0.008797,0.013949,0.084643,0.050449,0.029856,0.062894,4.499546,0.897324,0.012923,0.026481,15.931623,0.014888,0.007207,0.017043,0.087665,0.048114,0.026902,0.064542,1.000000e-04
22,3.429391,0.683253,0.013128,0.021389,15.789251,0.011327,0.008380,0.012448,0.084877,0.050499,0.029979,0.063085,1.716919,0.340805,0.012893,0.013251,15.254585,0.005552,0.006150,0.008081,0.083530,0.046046,0.027673,0.062269,1.000000e-04
23,3.402207,0.677805,0.013183,0.021182,15.794539,0.010745,0.008615,0.012570,0.084946,0.050269,0.030378,0.063102,2.155722,0.428551,0.012965,0.015788,15.888122,0.009364,0.005905,0.008083,0.086284,0.052728,0.029698,0.063821,1.000000e-04
24,2.918964,0.581164,0.013143,0.019244,15.776362,0.008973,0.007603,0.012131,0.084866,0.050223,0.030000,0.063068,2.003393,0.398079,0.012995,0.014703,15.791313,0.005614,0.008109,0.008504,0.085383,0.052846,0.032557,0.063248,1.000000e-04
